code,parent,count,id
Target Audience,Q2 - How to Label?,2,I7
Termporal Performance,Property Importance,1,I7
Traditional AI (ML & Training Models),ML Methods,1,I7
Trust and Privacy,Dimensions of Trust,1,I7
Trust in Companies,Trustable Authorities,1,I7
Trust in Label Certifyer,Trustable Authorities,1,I7
Trust in Labels,Dimensions of Trust,1,I7
Trust in Open Source,Trustable Authorities,1,I7
Trust Though Large Groups,Reasons for Trust,1,I7
Trust Through Usage,Reasons for Trust,3,I7
Up-to-dateness & Usability,Property Importance,1,I7
Usability & Performance,Requirements on AI,1,I7
Used: Paper,Workflows and Use,1,I7
Used: Papers With Code,Workflows and Use,2,I7
Workflows and Use,Q3 - Competitors?,1,I7
Accuracy,Understanding of Properties,1,I8
AI-as-a-Service (Pretrained & GenAI),ML Methods,5,I8
ANON,General Codes,3,I8
Association: Energy Labels,Associations,2,I8
Business Growth Thanks to AI,General Codes,3,I8
Central Compound Rating,Positive Feedback,2,I8
Color Mapping,Misunderstanding & Confusion,1,I8
Communication & Teambuilding,General Business Problems,2,I8
Compet More In-Depth (Positive),General Comparison,1,I8
Compet Rather Complex (Negative),General Comparison,4,I8
Customizability,Requirements on AI,1,I8
Data & Model Confusion,Misunderstanding & Confusion,2,I8
Data Connectivity,Availablity of Data & Labels,1,I8
Design,Positive Feedback,3,I8
Developers of AI,Who Needs Trust,2,I8
Documentation & Reporting,Requirements on AI,2,I8
General AI Skeptics,Dimensions of Trust,3,I8
Hardware & Environment Info,Design,1,I8
Info on Data and Model Relations,Room for Improvements,1,I8
Knowledge Acquisition & Transfer,Possible Use Cases,1,I8
Locality,Privacy,2,I8
Maybe Too Abstract,Limitations,1,I8
Metric Aggregation & Compound,Misunderstanding & Confusion,1,I8
Misunderstanding & Confusion,Limitations,2,I8
Model Catalogues & Decisions,Possible Use Cases,8,I8
Money Quotes,General Codes,1,I8
Moving with SOTA,General Business Problems,1,I8
Multiple Criteria,Design,1,I8
Natural Language Processing,ML Methods,1,I8
Operation & Infrastructure,Types of Daily Work,4,I8
Power Draw,Understanding of Properties,1,I8
Predictive Maintenance,Manufacturing & Industry,1,I8
Predictive Quality,Property Importance,2,I8
Privacy,Requirements on AI,1,I8
Requirements,Workflows and Use,1,I8
Robustness,Understanding of Properties,1,I8
Self- VS Externally-Certified,Trustable Authorities,1,I8
Traditional AI (ML & Training Models),ML Methods,4,I8
Traditional VS AIaaS,Limitations,2,I8
Traffic Planning,AI Applications & Use Cases,1,I8
Transparency,Possible Use Cases,2,I8
Trust in Label Certifyer,Trustable Authorities,2,I8
Trust in Labels,Dimensions of Trust,1,I8
Trust in Open Source,Trustable Authorities,1,I8
Trust Through Usage,Reasons for Trust,1,I8
Understanding & Transparency,Requirements on AI,2,I8
Understanding of Properties,Misunderstanding & Confusion,2,I8
Usability & Performance,Requirements on AI,1,I8
Usability Beats Trust Issues,Trust Through Usage,1,I8
Used: Blogs and Journalists,Workflows and Use,2,I8
Used: Library Documentation,Workflows and Use,1,I8
Used: Paper,Workflows and Use,1,I8
Workflows and Use,Q3 - Competitors?,2,I8
ANON,General Codes,3,I9
Availablity of Data & Labels,Requirements on AI,3,I9
Color Mapping,Misunderstanding & Confusion,1,I9
Compet Rather Complex (Negative),General Comparison,2,I9
Data & Model Confusion,Misunderstanding & Confusion,2,I9
Data Exploration & Analysis,Types of Daily Work,2,I9
Design,Positive Feedback,2,I9
"Energy, Resources & Sustainability",Property Importance,1,I9
Explain Color Scoring,Change or Enhance Coloring,1,I9
Finance & Fraud Detection,AI Applications & Use Cases,2,I9
In-House Services,AI Applications & Use Cases,1,I9
Knowledge Acquisition & Transfer,Possible Use Cases,1,I9
Metric Aggregation & Compound,Misunderstanding & Confusion,4,I9
ML Engineering,Types of Daily Work,2,I9
Model Catalogues & Decisions,Possible Use Cases,4,I9
Model Testing & Usability,Possible Use Cases,1,I9
Money Quotes,General Codes,1,I9
More Benchmark Data,Room for Improvements,1,I9
Multiple Criteria,Design,1,I9
Organization & Management,AI Applications & Use Cases,1,I9
Predictive Quality,Property Importance,3,I9
PyTorch,ML Tools & Brands,2,I9
ScikitLearn,ML Tools & Brands,2,I9
Self- VS Externally-Certified,Trustable Authorities,1,I9
Software Development,Types of Daily Work,1,I9
TensorFlow,ML Tools & Brands,2,I9
Traditional AI (ML & Training Models),ML Methods,1,I9
Trust in Companies,Trustable Authorities,2,I9
Trust Through Usage,Reasons for Trust,3,I9
Unsupervised & Clustering,ML Methods,2,I9
Up-to-dateness & Usability,Property Importance,2,I9
Used: Code Repos,Workflows and Use,2,I9
Used: Google,Workflows and Use,1,I9
Used: Paper,Workflows and Use,1,I9
